Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,marker/1,marker/2,marker/3,marker/4,marker/5,marker/6,marker/7,marker/8,marker/9,marker/10
skeletal muscle,UBERON:0001134,NK/T cells,CH:0000356,lymphocyte,CL:0000542,skos:narrowMatch,CD69,NCR3,KLRK1,TRDC,IFNG,XCL1,LAIR2,TRBC1,KLRB1,SIT1
skeletal muscle,UBERON:0001134,PAX7 high MuSCs,CH:0000357,skeletal muscle satellite stem cell,CL:0008011,skos:narrowMatch,MEG3,HMCN2,EEF1A1,S100B,JUNB,RASSF4,IGFBP5,FOS,KCNQ1OT1,LINC00565
skeletal muscle,UBERON:0001134,PAX7 low MuSCs,CH:0000358,skeletal muscle satellite stem cell,CL:0008011,skos:narrowMatch,FCRL5,IFITM3,NNMT,HES5,RPL31,ID1,APOC1,S100A2,CD40LG,ETV4
skeletal muscle,UBERON:0001134,Pericytes,CH:0000359,pericyte,CL:0000669,skos:exactMatch,IFI27,HLA-DRB1,NDUFA4L2,HIGD1B,PDCD1,KLRC3,ADCYAP1,CXCL2,GAL3ST1,NCR3
skeletal muscle,UBERON:0001134,Ribosome high skeletal muscle,CH:0000360,cell of skeletal muscle,CL:0000188,skos:narrowMatch,TTN,IGFALS,KANK4,FGF13-AS1,HS6ST3,MYH7,XIST,KLRK1,SLN,GAPDH
skeletal muscle,UBERON:0001134,S100A9+ LYZ+ macrophages,CH:0000361,macrophage,CL:0000235,skos:narrowMatch,FCAR,APOBEC3A,CD300LF,PRAM1,LTA,CD300E,VENTX,ANKRD53,RBP5,EREG
skeletal muscle,UBERON:0001134,SMC/Pericyte,CH:0000362,mural cell,CL:0008034,skos:narrowMatch,CARMN,CALD1,PDGFRB,TIMP3,SPARCL1,MUC3A,IGFBP7,HES5,GPR20,NRARP
skeletal muscle,UBERON:0001134,Slow skeletal muscle,CH:0000363,slow muscle cell,CL:0000189,skos:exactMatch,TNNT1,ATP2A2,MYH7B,MALAT1,TPM3,LGR5,MYH7,TNNI1,ADCYAP1,NEAT1
skeletal muscle,UBERON:0001134,Tendon cells,CH:0000364,tendon cell,CL:0000388,skos:exactMatch,TNMD,SCX,CD300LF,VEPH1,CLVS2,PTPN5,SLAMF6,ETV4,EPHA6,KANK4
skeletal muscle,UBERON:0001134,Venous endothelial cells,CH:0000365,vein endothelial cell,CL:0002543,skos:exactMatch,ACKR1,POSTN,MMRN1,CRTAC1,DSCAM,TDGF1,HBQ1,CLEC4D,MT-ND2,LAMP3
spleen,UBERON:0002106,CD16+ NK cells,CH:0000366,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch,GNLY,FCER1G,GZMB,TYROBP,FCGR3A,SPON2,MYOM2,LINC00299,CLIC3,IGFBP7
spleen,UBERON:0002106,CD16- NK cells,CH:0000367,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch,NKG7,KLRD1,KLRB1,CMC1,XCL1,TYROBP,CD7,TMSB4X,GZMK,SRGN
spleen,UBERON:0002106,CRTAM+ gamma-delta T cells,CH:0000368,gamma-delta T cell,CL:0000798,skos:narrowMatch,KLRD1,KLRF1,TRDV1,ITGAD,GCSAM,VCAM1,TYROBP,SPRY2,TRDC,KIR3DL1
spleen,UBERON:0002106,Classical monocytes,CH:0000369,classical monocyte,CL:0000860,skos:exactMatch,LYZ,S100A12,TYROBP,S100A8,S100A9,CST3,TMC7,FCN1,AIF1,LST1
spleen,UBERON:0002106,Cycling immune mix,CH:0000370,leukocyte,CL:0000738,skos:narrowMatch,HMGB2,STMN1,TEAD1,ENKUR,MKI67,IGHV3-35,MS4A1,NKG7,TSSK4,AICDA
spleen,UBERON:0002106,DC1,CH:0000371,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,CLEC9A,RAB7B,ERICH5,PPY,C1orf54,TRBV12-3,TRBV15,TRBV25-1,IL4,TSSK4
spleen,UBERON:0002106,DC2,CH:0000372,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,LYZ,LGALS2,CD1E,CLEC10A,CST3,IL22RA2,PKIB,IL1R2,TMSB4X,IGLV2-5
spleen,UBERON:0002106,Endothelial cells,CH:0000373,endothelial cell,CL:0000115,skos:exactMatch,B2M,VSTM2L,TRBV13,BCAR1,SCARA5,ROR1,TRBV12-3,LCN12,TMPRSS9,TRBV24-1
spleen,UBERON:0002106,Erythrocytes,CH:0000374,erythrocyte,CL:0000232,skos:exactMatch,RUNDC3A,TRBV25-1,TRBV12-3,TRBV2,TRBV11-2,TRDV3,TRBV15,TRIM17,CCDC74A,PROX2
spleen,UBERON:0002106,Erythroid,CH:0000375,erythroid lineage cell,CL:0000764,skos:exactMatch,KLF1,B2M,TRBV2,TRBV15,TRDV2,TRBV4-1,FOXP4-AS1,HBD,TRBV13,TRBV24-1
spleen,UBERON:0002106,Erythrophagocytic macrophages,CH:0000376,macrophage,CL:0000235,skos:narrowMatch,C1QB,C1QA,CD68,IFI30,FTL,C1QC,AP001189.4,SKIDA1,APOE,DNTT
spleen,UBERON:0002106,Follicular helper T cells,CH:0000377,T follicular helper cell,CL:0002038,skos:exactMatch,KLRB1,MAF,CXCR5,CH25H,RPS28,EPGN,GLIPR1,LPAR6,RPL41,ADAM23
spleen,UBERON:0002106,HSC/MPP,CH:0000378,hematopoietic multipotent progenitor cell,CL:0000837,skos:exactMatch,AVP,CRHBP,TRBV24-1,TRBV12-3,TRDV2,TRBV25-1,TRDV3,PROX2,TRBV15,IL12A-AS1
spleen,UBERON:0002106,ILC,CH:0000379,innate lymphoid cell,CL:0001065,skos:exactMatch,B2M,MORC1,TRDV3,TRDV2,TRBV11-2,TRBV12-3,TRBV25-1,PRR5,TRBV13,PROX2
spleen,UBERON:0002106,Low-quality B cells,CH:0000380,B cell,CL:0000236,skos:narrowMatch,MS4A1,CD74,MALAT1,RPL13A,IGHM,CD3E,RPS19,CD22,MT-CO2,MT-ND4L
spleen,UBERON:0002106,MAIT cells,CH:0000381,mucosal invariant T cell,CL:0000940,skos:exactMatch,CCL5,KLRD1,NKG7,NCR3,TRGC2,KLRG1,RPL21,DUSP2,CEBPD,RPL32
spleen,UBERON:0002106,Macrophages,CH:0000382,macrophage,CL:0000235,skos:exactMatch,C1QA,C1QB,APOE,APOC1,FCER1G,FTL,TRBV12-3,LRP4-AS1,LGMN,TRBV25-1
spleen,UBERON:0002106,Mast cells,CH:0000383,mast cell,CL:0000097,skos:exactMatch,MS4A2,CPA3,ENPP3,TRBV12-3,TRBV25-1,B2M,TRBV11-2,TRDV3,TRBV13,TRAV8-1
spleen,UBERON:0002106,Megakaryocytes/platelets,CH:0000384,megakaryocyte,CL:0000556,skos:exactMatch,B2M,TRBV25-1,TRDV3,TRBV11-2,TRBV12-3,KCNK13,TMSB4X,PRTFDC1,TRBV15,TRBV2
spleen,UBERON:0002106,Memory B cells,CH:0000385,memory B cell,CL:0000787,skos:exactMatch,HLA-DRA,CD74,RPS15A,B2M,JCHAIN,RPL32,RPS27,RPS15,UBD,MS4A1
spleen,UBERON:0002106,Migratory DCs,CH:0000386,"dendritic cell, human",CL:0001056,skos:narrowMatch,CCL19,LAD1,IL4,TRBV12-3,TMEM158,TRBV25-1,NTRK1,PLEK2,TRAV8-1,TRBV2
spleen,UBERON:0002106,Naive B cells,CH:0000387,naive B cell,CL:0000788,skos:exactMatch,TCL1A,IGHD,YBX3,TMSB10,HLA-DRA,IGHM,CD74,RPL18A,RPL12,IL4R
spleen,UBERON:0002106,Neutrophils,CH:0000388,neutrophil,CL:0000775,skos:exactMatch,SLC11A1,CAMP,FTL,TPT1,CEACAM6,VCAN,PTGES,ACTB,NEAT1,TRBV13
spleen,UBERON:0002106,Non-classical monocytes,CH:0000389,non-classical monocyte,CL:0000875,skos:exactMatch,FCGR3A,LY6G6F,TRDV3,TRDV2,HES4,TRBV25-1,TRBV4-1,TRBV11-2,TRBV12-3,RUNDC3A
spleen,UBERON:0002106,Plasma cells,CH:0000390,plasma cell,CL:0000786,skos:exactMatch,MZB1,JCHAIN,XBP1,SSR4,CTSE,IGKC,PCDHGA5,LINC01565,HERPUD1,RPS4X
spleen,UBERON:0002106,Plasmablasts,CH:0000391,plasmablast,CL:0000980,skos:exactMatch,MYBL2,RRM2,SHCBP1,HMGB1,CCND2,APOBEC3B,TRBV4-1,GAL,SLC1A1,FTL
spleen,UBERON:0002106,Regulatory T cells,CH:0000392,regulatory T cell,CL:0000815,skos:exactMatch,TIGIT,IL32,SRGN,RTKN2,FOXP3,S100A4,B2M,RGS1,SESN3,CTLA4
spleen,UBERON:0002106,Tcm/Naive cytotoxic T cells,CH:0000393,"central memory CD8-positive, alpha-beta T cell",CL:0000907,skos:exactMatch,CD8B,CD8A,AIF1,YBX3,S100B,CTSW,B2M,TRBV13,CD248,REG4
spleen,UBERON:0002106,Tcm/Naive helper T cells,CH:0000394,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch,MALAT1,IL7R,TSHZ2,KLF2,CLEC3B,LGALS9B,CCL5,CRIP1,B2M,GZMK
spleen,UBERON:0002106,Tem/Effector helper T cells,CH:0000395,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch,ANXA1,S100A4,KLF2,IL32,KLRB1,TNFRSF4,LTB,ITGB1,LGALS1,RPL41
spleen,UBERON:0002106,Tem/Temra cytotoxic T cells,CH:0000396,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,skos:exactMatch,GZMH,GNLY,PROK2,FGFBP2,TRGC2,GZMB,CD52,CD3E,CD3G,CD3D
spleen,UBERON:0002106,Tem/Trm cytotoxic T cells,CH:0000397,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,GZMK,CCL5,NKG7,CST7,CMC1,CD8A,CCL4,CD74,TNFAIP3,RPS12
spleen,UBERON:0002106,Trm cytotoxic T cells,CH:0000398,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,CCL5,KLRD1,CD8A,ITGA1,CD160,CD8B,KLRB1,TRBV15,CCL4,B2M
spleen,UBERON:0002106,pDC,CH:0000399,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,SCT,TRBV12-3,MT3,TRBV2,SMIM6,TRAV39,SHD,TRDV3,LGALS9C,TRBV11-2
